Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
40001,23,5,3,2
44015,14,6,3,3
14111,21,4,3,1
32017,6,13,8,5
6003,18,1,1,0
42016,14,13,3,10
40011,11,16,14,2
21010,4,20,17,3
25006,21,1,0,1
32304,25,2,0,2
15047,35,17,9,8
17026,29,10,7,3
12109,15,14,12,2
8050,43,1,1,0
14108,20,0,0,0
31024,29,9,0,9
2022,31,2,0,2
19033,30,11,10,1
17025,30,3,2,1
16138,28,1,1,0
15068,15,0,0,0
19027,16,2,0,2
31028,16,12,4,8
44010,18,12,6,6
16118,8,17,11,6
8103,21,2,2,0
8048,18,3,1,2
13118,11,50,48,2
15112,22,2,1,1
13030,17,4,1,3
40016,22,0,0,0
9002,9,3,2,1
16110,15,4,1,3
9001,12,5,3,2
17032,17,3,0,3
8016,26,3,1,2
10029,14,10,2,8
41303,9,23,10,13
12031,16,20,18,2
1001,11,4,2,2
5022,14,6,1,5
13104,3,22,21,1
9038,23,3,2,1
17008,15,7,2,5
18203,40,0,0,0
5005,23,1,0,1
21323,8,23,20,3
8053,25,3,1,2
22409,2,11,2,9
26003,0,15,9,6
17004,27,11,5,6
19003,21,2,1,1
12151,34,20,20,0
5020,35,3,1,2
16026,1,6,3,3
26002,1,36,31,5
17043,27,11,9,2
16039,14,33,28,5
11023,3,41,38,3
11047,15,13,11,2
19043,42,9,3,6
17030,10,11,7,4
8010,13,4,1,3
33017,5,20,4,16
15042,9,6,6,0
18011,5,33,9,24
21212,17,5,2,3
44006,12,23,10,13
19120,14,12,0,12
18003,39,3,1,2
11113,10,47,44,3
15104,38,24,23,1
19101,18,6,0,6
4016,52,6,6,0
14138,21,9,1,8
12114,9,19,12,7
41209,13,2,0,2
21312,23,6,1,5
14008,13,15,10,5
13001,4,11,5,6
41209,13,2,0,2
14008,13,15,10,5
13001,4,11,5,6
8017,63,2,2,0
15054,1,18,12,6
15106,3,29,27,2
22406,7,15,5,10
31102,14,6,1,5
2111,23,6,4,2
8054,30,1,0,1
17203,26,2,2,0
15133,1,25,24,1
15110,1,22,21,1
44003,0,19,9,10
15034,7,42,39,3
22203,16,11,0,11
41202,52,9,4,5
1119,24,0,0,0
1020,32,4,2,2
31003,12,17,3,14
22402,33,10,5,5
9116,21,1,0,1
11030,12,11,7,4
11026,17,27,23,4
41601,1,25,10,15
23006,0,22,12,10
15021,21,42,35,7
9010,3,21,20,1
11105,1,20,16,4
17125,28,4,1,3
43005,44,5,1,4
22003,25,1,1,0
13050,52,3,2,1
24001,18,9,3,6
10014,24,29,25,4
15046,9,19,8,11
46001,12,7,5,2
17028,30,6,3,3
42302,19,3,1,2
9032,35,1,1,0
32003,3,25,6,19
21104,12,8,2,6
8025,31,2,1,1
13002,1,25,12,13
12204,1,0,0,0
20121,17,2,0,2
19013,14,16,10,6
42301,20,5,5,0
43003,22,4,1,3
20043,21,5,4,1
32016,33,5,3,2
15201,28,9,5,4
31010,28,14,2,12
11004,22,6,3,3
12009,6,10,7,3
14036,38,5,2,3
19205,16,7,2,5
5123,23,6,5,1
11007,2,60,50,10
35018,1,22,3,19
18110,0,17,8,9
41606,2,17,10,7
17011,45,8,2,6
12013,1,13,8,5
21305,4,21,21,0
8033,38,3,3,0
23001,24,14,3,11
15010,23,34,33,1
18141,15,3,0,3
33009,19,14,7,7
5106,18,0,0,0
25005,18,7,4,3
13045,8,25,12,13
19115,18,9,3,6
16018,14,3,3,0
12034,32,17,16,1
15033,6,23,20,3
19044,39,10,7,3
24002,22,10,3,7
33001,28,6,2,4
16034,24,7,5,2
41404,0,25,21,4
20132,13,12,9,3
8055,29,2,0,2
27002,17,12,7,5
21109,0,26,15,11
17007,12,23,11,12
21502,2,22,11,11
12024,15,18,18,0
14104,10,13,3,10
6030,33,2,1,1
10005,11,6,2,4
18020,16,4,1,3
20136,24,3,1,2
5026,16,31,23,8
5002,27,5,4,1
21013,2,18,15,3
21111,33,17,8,9
11114,5,24,22,2
7006,29,3,2,1
7014,25,13,9,4
10023,10,4,4,0
34002,2,25,16,9
13026,21,14,4,10
14139,17,11,4,7
11101,2,46,43,3
15055,26,28,21,7
14130,23,7,2,5
10015,26,17,13,4
41207,27,1,1,0
12011,5,29,22,7
19037,21,7,0,7
15038,11,48,45,3
21032,13,12,8,4
7005,45,6,5,1
21019,21,7,6,1
19109,10,7,1,6
31019,33,5,2,3
17027,30,13,7,6
51003,12,18,10,8
44102,0,26,7,19
19039,18,5,2,3
22001,10,12,9,3
18025,34,5,2,3
17122,21,8,6,2
9023,32,1,0,1
16123,23,2,2,0
31007,23,24,4,20
17047,20,4,4,0
6016,12,10,9,1
41204,11,9,1,8
19009,3,26,18,8
18029,34,4,3,1
21703,15,5,1,4
16021,20,2,1,1
9031,21,1,0,1
18049,11,43,15,28
34010,34,11,5,6
35003,4,18,7,11
21014,11,11,8,3
5121,27,6,3,3
16015,11,4,3,1
15070,3,33,28,5
14112,10,5,2,3
21310,1,21,19,2
23007,3,24,13,11
20016,22,10,5,5
16043,11,4,4,0
16027,52,8,4,4
6107,21,2,2,0
16029,1,43,39,4
9017,26,1,0,1
7008,15,1,0,1
16112,24,13,5,8
42703,30,15,4,11
20201,14,6,1,5
22102,17,7,0,7
4110,13,4,4,0
17022,36,10,6,4
23304,25,8,4,4
12161,16,25,21,4
15107,1,20,18,2
9101,12,7,4,3
18017,40,4,0,4
1117,22,3,1,2
23903,16,14,10,4
13010,38,2,0,2
31704,17,8,0,8
23403,15,7,7,0
4013,21,6,4,2
31023,24,10,1,9
9118,26,9,4,5
2001,18,4,3,1
18137,21,6,1,5
17116,16,9,8,1
18138,18,2,1,1
7016,47,7,4,3
31013,29,16,2,14
32018,8,16,9,7
17016,25,5,2,3
18019,33,17,4,13
11003,11,21,20,1
11034,27,21,19,2
9012,41,0,0,0
15020,5,27,19,8
19031,8,15,0,15
13114,17,6,2,4
20017,11,15,5,10
11019,6,26,18,8
23008,2,23,21,2
21108,11,38,27,11
6014,21,1,0,1
14116,18,7,3,4
31018,5,28,3,25
33005,13,18,5,13
15063,14,6,3,3
7026,15,7,5,2
1016,21,2,1,1
17033,25,3,0,3
9113,12,17,16,1
22017,24,3,1,2
17104,10,12,10,2
19030,8,16,13,3
21004,2,25,21,4
35008,15,11,5,6
13022,31,1,0,1
